authorId,name
4466791,Erica Payton
38619458,Aleah Goldin
2214600291,Kathleen Hoffman
116374491,J. Chandler
2214598256,Shani Weber
7411860,Ian Whitmarsh
2338969189,Madison L Jones
2324581220,Srinivasan Vijayakumar
121420979,M. Nittala
2338550858,Claude D Brunson
5449158,T. Belal
1763337,C. Olsson
6262348,A. Steinbrenner
39614298,L. Jacob
121269232,M. Zasloff
2282092332,Yi Yu
2268393932,Jingru Yu
2309200221,Xuhong Wang
2311638147,Juanjuan Li
2107915963,Yilun Lin
2289699353,Conghui He
2311560596,Yanqing Yang
2151691778,Yu Qiao
2311634706,Li Li
2268625176,Fei-Yue Wang
10343475,Katharine M Brauch
32396412,Margaret L. Karst
7485466,Kathleen J. Herron
2664309,M. de Andrade
5741305,P. Pellikka
5670986,R. Rodeheffer
4190562,V. Michels
143675426,T. Olson
2330335103,Elias Toulitsis
2079675176,A. Tsekouras
3502460,P. Macheras
49284409,Lin Xi
48661360,X. Wu
