paperId,volumeId,pages
35297b8190e9ec94170a7307d4d9d76b9e36bb46,7c2c7ffb-ad89-4e6f-b5b7-9aa724b0c38f,
be3b1be101b404d564b8026b91d11c96fc537ed9,6afd2f89-d3e6-406f-81ba-1ac85cf719d4,
11373c2c05013160c8c037e0624c5fac01ee8ae7,de4550fe-d3ff-4b23-a914-9042a12087cc,
a85b85206842c1970bde9d8af31735dbd4346183,ba02c9a1-ba66-4602-97b2-ef7d57bc756e,"
          959-65
        "
f84545bef2043e7d17e691a00f525c582c5c1725,6dd5d3d4-63ea-475d-9cfc-decc967ad925,"
          121-34
        "
d3c2d1c55edb170e5b47c1555026a6999a1db05b,5efbb554-358d-40e5-a810-5d7e471dd70c,
bda3db00fad0242b20dee26f4976ea60add82b7a,a5e0a743-fd28-4d31-b70e-229c9748e0b5,
e9c7cb73079038a038076bd9e69454d124c616a7,dd2794ad-3763-4ae5-aa93-cd6d16626a2e,1443 - 1460
186be3d279cc2cccd662e89bb669f46f8e1d9582,b66b58c2-db67-4039-be12-d2e11eed3ee1,399 - 409
369d4050acb5e97b908ab2f3a348242aea790600,32e5e54e-d1f3-44f3-ba38-3b5ceb3f8668,
e35693433a82f27980b22af0a2305788868e0fa1,e91ed172-77a9-4f26-8c60-185bd9dadda1,
3e388bc629491e5271a6d7eee8753ee9a49d333c,e09e4850-01a2-48bc-8c6e-c39f5826eee7,1-16
0c74608bbd432c5ad7bc78aa6fd94d4a3a07d17e,19d24d4a-6a4b-4d16-9034-6f9416bf8d64,"
          53-62
        "
cc33a86a76ebf592efe4c87ae560ba1fde756f9d,9d54f90c-03da-482c-9590-83ef7c266f7b,261 - 268
93b5dfd5a46e7bbb59cd8bab741c518e56ff4032,cbeeda46-bf61-4e0c-8625-b8cb7c14ea32,
3adfcbcd8d8331d3cb29859a54d3afff1cf9daae,249fe12d-db6f-480e-a8e1-2e287064a91d,
029aece1890f84c39a1c42ca99091a2d95835fa4,09baabf9-5ecc-44fc-bd6d-0cc3f19846e8,
8c365c3180e295d57b73716fb97ad83b459171e1,4ebbf379-2e38-4da2-9f46-54a73eb12ede,
083bc84cf1f98857de6e5554ae49a0f2f80f4295,bdbd0ecc-82ef-49b1-b7ea-a749eb55244d,553 - 562
